iso3,unclassified,budget_support,curriculum,infrastructure,teacher_training
KGZ,0.5686256342450712,0.04100163812845296,0.015516537280267991,0.33057257392852807,0.04428361641767968
KHM,0.6377130618896473,0.1792348389216209,0.005888796885263495,0.09977518747564433,0.07738811482782394
KIR,0.3690259004648739,0.16408336852694227,0.08617988147103309,0.14253203180597446,0.23817881773117636
KNA,0.733747922330213,0,0,0.26625207766978704,0
LAO,0.7073652223707343,0.05035616128932973,0.006581373015747602,0.0968662411982127,0.13883100212597557
LBN,0.597789588403962,0.19447319516286132,0.008348218763555675,0.11507098859067184,0.0843180090789492
LBR,0.5673347057777464,0.01596870772785897,0.004770449235635408,0.22148357621984446,0.19044256103891483
LBY,0.8444697834143055,0.029775961159794858,0,0.11361929215690346,0.012134963268996253
LCA,0.8129834595501435,0.06545177728934935,0,0.12024559512399122,0.0013191680365158514
LKA,0.5831777981142524,0.17078662161618874,0.018740742527334427,0.15544971662905224,0.07184512111317212
LSO,0.659603869845423,0.04775015766915648,5.860935106161315e-4,0.22560078526244,0.06645909371236441
MAR,0.9221844905390713,0.03608682594625547,2.0913968322399835e-4,0.031928614438818656,0.009590929392630693
MDA,0.4326304070668536,0.0062309755499567795,0,0.5496548545617606,0.011483762821429171
MDG,0.8062400540485235,0.05140081546279397,0.0018082275554548563,0.07426691159044217,0.06628399134278545
MDV,0.961178201151004,0.00655225478664802,0,0.029156668314188755,0.0031128757481592587
MEX,0.40389984803057427,0.3859769536233524,7.484881158755934e-5,0.15521015936149124,0.054838190172994516
MHL,0.9523693434277115,0.00458588575451195,0.0029240023405090743,0.040120768477267456,0
MKD,0.7432394164148752,0.020979813987306847,0.008769676030273267,0.20483446932579905,0.02217662424174551
MLI,0.7478409535989476,0.018487424866920003,0.03438383700559635,0.09280925750896385,0.10647852701957218
MMR,0.5413884358421681,0.17426175369014876,0.03929254917632671,0.13330635580633984,0.11175090548501661
MNE,0.7331622920572543,0.02736083372796886,0.014340790744886402,0.19722051471858937,0.02791556875130104
MNG,0.7426419867320511,0.02901205617598633,0.00207211773957931,0.14551437007892912,0.08075946927345411
MOZ,0.6247781668450492,0.1378369593287916,0.001574846701023517,0.12205334311975692,0.11375668400537886
MRT,0.8706868628840131,0.018562708053571016,0,0.10466823778630188,0.00608219127611402
MSR,0.3900771726905672,0.00461552492901215,0,0.6053073023804206,0
MUS,0.8086963092975274,0.01585620372092415,0,0.17074423077993764,0.004703256201610821
MWI,0.5406050579678487,0.11233196863334144,0.005990274127849243,0.18832735840760778,0.1527453408633528
MYS,0.9557672732415378,0.0016127399909806708,3.7166528018237597e-4,0.011651987850030382,0.030596333637268745
MYT,0.9574309127712602,0.007766977593156687,0,0.03375620644504151,0.0010459031905415894
NAM,0.5272070542267638,0.3494297023628106,0.0016348108348667254,0.07646590311161763,0.04526252946394125
NER,0.9145103881048059,0.0029610878578634793,5.182688176752991e-4,0.04102994070850631,0.04098031451114898
NGA,0.8708004369309654,0.015990966195184086,0.023072352380259977,0.027812436169478576,0.06232380832411202
NIC,0.7687691638670047,0.015340486045086863,0.008281706654608093,0.15003084947956308,0.05757779395373732
NIU,0.552146865025898,0.029219372949959688,0.01960851477685622,0.19467272521452947,0.20435252203275647
NPL,0.6753471214589821,0.10719675955703434,0.002368608634231867,0.15752926209051163,0.05755824825924003
NRU,0.7682652562372121,0.21696950306509954,0.005416501181861811,0.0047765683431111585,0.004572171172715419
OMN,0.8065841554027616,0.05460872522319293,0,0.11119263910129641,0.027614480272748966
PAK,0.6658802722101274,0.09118130229143104,0.010396628437366889,0.16711654375093676,0.065425253310138
PAN,0.1719267100184232,0.40624649356390957,0.20855567384001333,0.1178744739255558,0.09539664865209815
PER,0.40046400166284596,0.4631556885655559,0.001213809056737183,0.07217886882271365,0.0629876318921473
PHL,0.6587187868133122,0.12165371415510919,5.434187593778741e-4,0.11772585328178282,0.10135822699041803
PLW,0.786490347425621,0.040551709107978076,0.027213410384689996,0.09973788009780701,0.046006652983903995
PNG,0.33476683746561475,0.04061238001899906,5.582207193520547e-4,0.30928677247228376,0.31477578932375033
PRK,0.8962479068960586,0.005029817971058542,0,0.01479163073038829,0.08393064440249451
PRY,0.4368075147297817,0.35933372485461323,5.647953306028925e-4,0.04959086624687979,0.15370309883812228
PSE,0.4006644046145988,0.47469165464043844,0.004280166855341523,0.07294168488010619,0.04742208900951502
RWA,0.8010392362504669,0.020477868393294404,0.003841514309685291,0.1351155050035977,0.03952587604295568
SDN,0.7788819157255467,0.02587934381441979,0.006161633841744687,0.14639875434260036,0.04267835227568846
SEN,0.7418883576516647,0.054383374559796124,5.155852134723785e-4,0.09035990127551548,0.11285278129955136
SHN,0.902233102894447,0.01333838847352382,0,0.07657004825543148,0.007858460376597745
SLB,0.4894709007475928,0.2596778788881293,8.78664244148457e-4,0.21577995042637602,0.034192605693753424
SLE,0.7456263203352544,0.0428505289634083,1.668393982064051e-4,0.1254888188748213,0.08586749242830949
SLV,0.5014689653973647,0.037935582119370044,0.009496526078954971,0.18662302289447263,0.26447590350983763
SOM,0.6994651672739823,0.03491045413424023,0.013644874437510408,0.18035776065824652,0.07162174349602042
SRB,0.73105967958994,0.053719980986174726,0.006955485222755974,0.13545045494808616,0.07281439925304317
SSD,0.6837551681117318,0.01681017676994131,0.002502590930707801,0.18173205222254588,0.11520001196507335
STP,0.8530841106396667,0.05405414732943182,0.02799354412587066,0.028770724374180955,0.03609747353084979
SUR,0.5194470945969383,0.0015527563976477914,0.2927205876239995,0.015810835662742006,0.17046872571867247
SWZ,0.6201344501928318,0.01729006660257815,0,0.31822216851716106,0.04435331468742914
SYC,0.9322982884281956,0,0,0.06770171157180428,0
SYR,0.8035888763841939,0.09494598076927761,0.002780151495219701,0.05610125754826106,0.042583733803047766
TCD,0.9381492734160923,0.002772546390467884,0.0220904353428413,0.035704995111899396,0.0012827497386991603
TGO,0.9349323440845899,0.0037455454974507415,1.9837273660533317e-4,0.045891220981148825,0.015232516700205154
THA,0.8696477661139659,0.003734431333456367,0.0015003039107800784,0.06949763019175437,0.05561986845004329
TJK,0.46865041193272156,0.014271306637608469,2.589049185256802e-4,0.33698807789750057,0.17983129861364372
TKL,0.9649774822443542,0,0,0,0.03502251775564578
TKM,0.7171343807342216,0.006197505494232835,0.005762393456954367,0.20082976140419823,0.07007595891039288
TLS,0.6439730416262635,0.05559645851915453,0.015215462565340737,0.16368833720844375,0.12152670008079762
TON,0.6595662998940858,0.09740696204280883,0.011791298922073671,0.10060899956763028,0.13062643957340145
