iso3,dominant_bucket,dominant_share,country_total_usd_defl
TKL,teacher_training,0.03502251775564578,8.079402
TKM,infrastructure,0.20082976140419823,57.109429
TLS,infrastructure,0.16368833720844375,412.978769
TON,teacher_training,0.13062643957340145,106.73734999999999
TTO,budget_support,0.9420857034266835,36.96988699999999
TUN,infrastructure,0.06055233082836346,2383.890546
TUR,infrastructure,0.17900596083421375,3471.014502
TUV,infrastructure,0.20362602919657097,34.654823
TZA,teacher_training,0.21875175226314145,2277.679451
UGA,teacher_training,0.15847619544434485,1556.734078
UKR,infrastructure,0.030161950154117406,1531.8704779999998
URY,teacher_training,0.4209256573794885,234.036356
UZB,infrastructure,0.22008507195574722,437.268894
VCT,infrastructure,0.3361404220433625,32.294075
VEN,teacher_training,0.07095538400987997,186.42809400000002
VNM,infrastructure,0.11235402182937843,3028.810562
VUT,budget_support,0.17375771202306065,229.651965
WLF,infrastructure,0.013852648761669991,626.8818439999999
WSM,infrastructure,0.17077121499117903,193.010356
XKX,infrastructure,0.10779687424822415,384.423104
YEM,infrastructure,0.14596619502746117,1009.974138
ZAF,budget_support,0.1402844811703813,1041.730388
ZMB,budget_support,0.18401396061571948,600.430824
ZWE,teacher_training,0.13538091438317018,471.22048399999994
